Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2019-02-15,182.95,186.05,179.45,180.35,181.15,15123.0,360.0,2739577.0,4527.0,29.93,6.6,-2.6
2019-02-18,183.0,183.0,171.5,174.35,175.93,44875.0,546.0,7894669.0,29875.0,66.57,11.5,-8.65
2019-02-19,174.5,175.75,172.2,174.05,174.2,27352.0,595.0,4764664.0,2192.0,8.01,3.55,-0.45
2019-02-20,174.5,178.8,174.0,177.5,176.91,16533.0,382.0,2924806.0,1943.0,11.75,4.8,3.0
2019-02-21,177.4,181.0,177.05,180.5,179.18,25218.0,523.0,4518491.0,2730.0,10.83,3.95,3.1
2019-02-22,180.75,194.9,180.6,192.55,188.42,48578.0,944.0,9153299.0,13388.0,27.56,14.3,11.8
2019-02-25,191.55,208.9,191.55,203.9,201.55,72677.0,1675.0,14648392.0,12144.0,16.71,17.35,12.35
2019-02-26,201.9,201.9,193.5,197.25,196.37,48652.0,945.0,9553762.0,11514.0,23.67,8.4,-4.65
2019-02-27,200.7,208.1,197.0,202.05,202.77,36531.0,773.0,7407466.0,10840.0,29.67,11.1,1.35
2019-02-28,212.5,221.8,210.2,216.75,217.43,262929.0,5958.0,57167960.0,31544.0,12.0,11.6,4.25
2019-03-01,219.0,220.0,215.0,218.5,218.14,52758.0,1093.0,11508874.0,15814.0,29.97,5.0,-0.5
2019-03-05,222.2,225.0,221.35,224.2,223.6,42444.0,982.0,9490399.0,13369.0,31.5,3.65,2.0
2019-03-06,235.0,239.9,231.45,233.25,234.81,138757.0,3210.0,32581609.0,35943.0,25.9,8.45,-1.75
2019-03-07,233.25,237.4,230.9,233.2,232.87,26028.0,702.0,6061033.0,7989.0,30.69,6.5,-0.05
2019-03-08,232.15,232.95,227.05,230.75,229.81,27392.0,684.0,6294852.0,8221.0,30.01,5.9,-1.4
2019-03-11,231.9,234.75,231.0,232.8,232.61,10737.0,322.0,2497544.0,4118.0,38.35,3.75,0.9
2019-03-12,233.15,236.0,229.95,231.05,233.18,17777.0,551.0,4145287.0,5991.0,33.7,6.05,-2.1
2019-03-13,229.5,231.85,227.45,228.05,229.42,20993.0,500.0,4816116.0,5471.0,26.06,4.4,-1.45
2019-03-14,229.95,230.0,224.0,225.25,226.38,37929.0,723.0,8586304.0,19055.0,50.24,6.0,-4.7
2019-03-15,226.8,227.95,225.2,225.9,226.51,9800.0,273.0,2219778.0,2940.0,30.0,2.75,-0.9
2019-03-18,225.0,227.0,224.7,225.3,225.44,5675.0,142.0,1279394.0,2534.0,44.65,2.3,0.3
